arrival_rate,service_rate,sim_time,num_servers,avg_wait,max_queue,served
4.869436177265801,4.813142826003018,100,3,0.004385939404361498,2,475
1.3208582459405709,4.127533447545385,93,3,0.0071556287925328855,2,138
1.9378384294271287,1.5786185259565095,62,3,0.009974071195197564,1,114
2.424484635487138,4.6935583059504875,54,1,0.20976916484128758,5,122
3.1297761983430656,4.113115933367497,65,2,0.03640335034892536,3,209
4.871543412618983,4.832532272800558,57,3,0.004308923595387269,2,288
3.94650143585151,4.963707332885836,80,2,0.02601047290927405,3,282
3.0880311131701945,2.3088922040139974,83,3,0.04048422317938732,4,262
1.6375192986978093,4.38839668349954,93,1,0.10876840699101237,3,145
4.288768249240273,3.1350794297064666,65,1,10.18356436067402,68,220
4.935046185515534,4.7158079184316914,54,2,0.11080302784800951,6,259
3.4620877702577872,4.623420170053124,91,2,0.0354358598954049,5,291
3.180013693458702,1.9835555286675373,75,3,0.2376249165369551,9,241
3.5450286834573426,3.33646991897734,89,1,4.136949048887399,32,317
3.8105135218284314,1.1837165811072858,64,1,21.855343828496075,156,70
3.2220734105241844,3.287986221600782,95,3,0.011027410797691962,3,319
2.4122476324621,1.346501110198449,79,2,0.5210428569508567,6,177
3.7484908270347974,1.8514506393915195,71,3,0.2977547052524776,9,287
2.565609819182673,1.3279432459831737,99,3,0.5359437789793758,10,270
3.6987009598972787,3.7838409199727043,54,1,2.421499946918754,23,194
2.2228926064562398,4.121313095158438,95,1,0.1555041468915923,3,194
2.5479744990805338,3.326217844139853,68,3,0.009367221474396307,1,167
3.416891957036741,1.3472985579766443,62,1,17.82448776723563,110,85
4.938645801385272,1.9696155898181789,73,2,7.593342554680879,60,274
4.904048939005102,1.127451711391723,87,2,20.137647833744698,224,196
3.002089094020007,3.0245291615565266,92,3,0.017779384987553087,1,296
4.390293485062509,3.455565628023204,58,2,0.1225919862034547,4,263
2.9269904833300044,4.2689964485153595,66,3,0.00389262517638604,0,193
2.555088284727261,3.798707011908725,88,2,0.02598747574557036,1,233
4.520504314416574,3.51412456108874,66,2,0.16176895917863093,6,313
2.1923267260326753,4.822330402983088,53,2,0.01508789073420502,2,123
3.8807212027037066,2.824134851704152,85,1,11.80540558158031,91,225
3.9854727662869682,3.695112841402117,72,1,5.102369785361722,40,246
3.6920944226848116,1.7713558075739297,65,1,13.053274474184018,125,115
2.009232915149284,3.0433882746850593,97,1,0.5409814274095194,7,207
4.436326968290404,3.8096125546286745,75,2,0.2524247839600593,12,343
4.97449948463995,4.33878436251297,100,3,0.019824877528054913,4,494
2.2835370456898128,1.5442030043120902,59,3,0.11496306661582396,4,158
3.1163275918359594,2.6716654950738863,59,1,9.833645620016847,50,145
3.6188784514714043,4.8663888455817785,87,1,0.7841571398153993,18,289
4.930584459387238,4.603852851396617,80,3,0.01410505451342122,3,365
2.6443118826812575,4.282158665201058,53,1,0.17536776655771835,5,144
